id,obj,verb,atr,subj,ref,synset
occ212,τὸν,ἄγε,θυγάτηρ,Ἀφροδίτη,21.416,
occ213,τὴν,ἐνόησε,θεὰ,Ἥρη,21.418,
occ214,Ἀπόλλωνα,προσέφη,κρείων,ἐνοσίχθων,21.435,speak
occ215,τὸν,προσέειπεν,ἄναξ,Ἀπόλλων,21.461,speak
occ216,τὴν,προσέφη,ἑκάεργος,Ἀπόλλων,21.478,speak
occ217,Λητὼ,προσέειπε,διάκτορος,ἀργεϊφόντης,21.497,speak
occ218,τὸν,προσέειπεν,ἐϋστέφανος,κελαδεινή,21.511,speak
occ219,Πηλείωνα,προσηύδα,Φοῖβος,Ἀπόλλων,22.7,speak
occ220,τὸν,προσέφη,ὠκὺς,Ἀχιλλεύς,22.14,speak
occ221,πολλὰ,ὤπασε,γέρων,Ἄλτης,22.51,
occ222,τὸν,προσέειπε,θεὰ,Ἀθήνη,22.177,speak
occ223,τὴν,προσέφη,νεφεληγερέτα,Ζεύς,22.182,speak
occ224,Ἕκτορα,ἔφεπ',ὠκὺς,Ἀχιλλεύς,22.188,
occ225,Πηλεΐωνα,ἵκανε,θεὰ,Ἀθήνη,22.214,
occ226,σε,βιάζεται,ὠκὺς,Ἀχιλλεὺς,22.229,
occ227,τὴν,προσέειπε,μέγας,Ἕκτωρ,22.232,speak
occ228,τὸν,προσέειπε,θεὰ,Ἀθήνη,22.238,speak
occ229,τὸν,προσέειπε,μέγας,Ἕκτωρ,22.249,speak
occ230,τὸν,προσέφη,ὠκὺς,Ἀχιλλεύς,22.260,speak
occ231,τὸ,ἠλεύατο,φαίδιμος,Ἕκτωρ,22.274,
occ232,τὸν,προσέφη,κορυθαίολος,Ἕκτωρ,22.337,speak
occ233,τὸν,προσέφη,ὠκὺς,Ἀχιλλεὺς,22.344,speak
occ234,τὸν,προσέφη,κορυθαίολος,Ἕκτωρ,22.355,speak
occ235,τὸν,προσηύδα,δῖος,Ἀχιλλεύς,22.364,speak
occ236,τὸν,ἐξενάριξε,ποδάρκης,Ἀχιλλεύς,22.376,kill
occ237,ὅ,δῶκε,χρυσῆ,Ἀφροδίτη,22.470,
occ238,τοῦτον,ἐπιφλέγῃ,ἀκάματον,πῦρ,23.52,
occ239,τόν,πόρε,πότνια,μήτηρ,23.92,
occ240,τὸν,προσέφη,ὠκὺς,Ἀχιλλεύς,23.93,speak
occ241,κάρη,ἔχε,δῖος,Ἀχιλλεὺς,23.136,
occ242,ἄλλ',ἐνόησε,ποδάρκης,Ἀχιλλεύς,23.140,
occ243,τό,ἄκουσεν,ἄναξ,Ἀγαμέμνων,23.161,
occ244,κύνας,ἄλαλκε,θυγάτηρ,Ἀφροδίτη,23.185,
occ245,νέφος,ἤγαγε,Φοῖβος,Ἀπόλλων,23.188,
occ246,ὁπόσσον,ἐπέσχε,πυρὸς,μένος,23.238,
occ247,τὴν,δῶκ',Ἀγχισιάδης,Ἐχέπωλος,23.296,
occ248,τὸν,προσέφη,ξανθὸς,Μενέλαος,23.438,speak
occ249,τὸν,ἐνένιπεν,Ὀϊλῆος,Αἴας,23.473,
occ250,πρῶτα,φερέσθω,Τυδέος,υἱός,23.538,
occ251,μιν,προσέειπε,μέγας,Αἴας,23.722,speak
occ252,οὓς,πέφνεν,ὠκὺς,Ἀχιλλεύς,23.776,kill
occ253,κρητῆρ',ἀνάειρε,πολύτλας,Ὀδυσσεύς,23.778,
occ254,ὃν,ῥίπτασκε,μέγα,σθένος,23.827,
occ255,τὸν,ἔπεφνε,ποδάρκης,Ἀχιλλεύς,23.828,kill
occ256,σόλον,ἕλε,δῖος,Ἐπειός,23.839,kill
occ257,σόλον,εἷλε,μενεπτόλεμος,Πολυποίτης,23.844,kill
occ258,μήρινθον,τάμε,πικρὸς,ὀϊστός,23.867,
occ259,τὸν,ἐλεαίρεσκον,μάκαρες,θεοὶ,24.23,
occ260,τὸν,προσέφη,λευκώλενος,Ἥρη,24.55,speak
occ261,με,ἄνωγε,μέγας,θεός,24.90,
occ262,τὴν,προσέφη,ὠκὺς,Ἀχιλλεύς,24.138,speak
occ263,τὸν,ἔκτανε,δῖος,Ἀχιλλεύς,24.151,kill
occ264,τὸν,ἔκτανε,δῖος,Ἀχιλλεύς,24.180,kill
occ265,τὴν,προσέειπε,γέρων,Πρίαμος,24.217,speak
occ266,ταμίην,ὄτρυν',ὃ,γεραιὸς,24.302,
occ267,τὸν,ἠμείβετ',γέρων,Πρίαμος,24.372,reply
occ268,τὸν,ἠμείβετ',γέρων,Πρίαμος,24.386,reply
occ269,τὸν,ἠμείβετ',γέρων,Πρίαμος,24.405,reply
occ270,θύρην,ἔχε,μοῦνος,ἐπιβλὴς,24.453,
occ271,ἄλλους,ἔτικτον,μεγάροισι,γυναῖκες,24.497,
occ272,τὸν,ἠμείβετ',γέρων,Πρίαμος,24.552,reply
occ273,τὸν,προσέφη,ὠκὺς,Ἀχιλλεύς,24.559,speak
occ274,τὸν,προσέειπε,γέρων,Πρίαμος,24.634,speak
occ275,τὸν,προσέφη,ὠκὺς,Ἀχιλλεύς,24.649,speak
occ276,τὸν,ἠμείβετ',γέρων,Πρίαμος,24.659,reply
occ277,τὸν,προσέειπε,ποδάρκης,Ἀχιλλεύς,24.668,speak
occ278,τὴν,προσέειπεν,ἄναξ,Ἀπόλλων,7.23,speak
occ279,τὴν,προσέειπεν,ἄναξ,Ἀπόλλων,7.37,speak
occ280,ἑ,ταρχύσωσι,κομόωντες,Ἀχαιοί,7.85,
occ281,ὅν,κατέκτανε,φαίδιμος,Ἕκτωρ,7.90,
occ282,τά,πόρε,χάλκεος,Ἄρης,7.146,
occ283,τὸν,προσέειπε,μέγας,Ἕκτωρ,7.233,speak
occ284,σφῶϊ,φιλεῖ,νεφεληγερέτα,Ζεύς,7.280,
occ285,τὸν,προσέφη,Τελαμώνιος,Αἴας,7.283,speak
occ286,τὸν,προσέειπε,μέγας,Ἕκτωρ,7.287,speak
occ287,βοῦν,ἱέρευσεν,ἄναξ,Ἀγαμέμνων,7.314,
occ288,Ἰδαῖον,προσέφη,κρείων,Ἀγαμέμνων,7.405,speak
occ289,τὸν,προσέφη,νεφεληγερέτα,Ζεύς,7.454,speak
occ290,τὰς,προέηκεν,Ἰησονίδης,Εὔνηος,7.468,
occ291,κακὰ,μήδετο,μητίετα,Ζεὺς,7.478,
occ292,τὴν,προσέφη,νεφεληγερέτα,Ζεύς,8.38,speak
occ293,τὸν,ἠμείβετ',ἀγαθὸς,Διομήδης,8.145,reply
occ294,τὸν,ἠμείβετ',Γερήνιος,ἱππότα,8.151,reply
occ295,τὴν,προσέφη,κρείων,ἐνοσίχθων,8.208,speak
occ296,ἵππους,λῦσε,κλυτὸς,ἐννοσίγαιος,8.440,kill
occ297,τὴν,προσέφη,νεφεληγερέτα,Ζεύς,8.469,speak
occ298,τὸν,προσέφη,λευκώλενος,Ἥρη,8.484,speak
occ299,τι,προσέφη,λευκώλενος,Ἥρη,8.484,speak
occ300,ἀγορὴν,ποιήσατο,φαίδιμος,Ἕκτωρ,8.489,
occ301,τὸν,προσέειπεν,ἄναξ,Ἀγαμέμνων,9.114,speak
occ302,τὸν,ἠμείβετ',ἱππότα,Νέστωρ,9.162,reply
occ303,πόλλ',ἐπέτελλε,ἱππότα,Νέστωρ,9.179,
occ304,τὼ,προσέφη,ὠκὺς,Ἀχιλλεύς,9.196,speak
occ305,τὸν,προσέφη,ὠκὺς,Ἀχιλλεύς,9.307,speak
occ306,εὐπλοίην,δώῃ,κλυτὸς,ἐννοσίγαιος,9.362,
occ307,φρένας,εἵλετο,μητίετα,Ζεύς,9.377,kill
occ308,τὸν,προσέφη,ὠκὺς,Ἀχιλλεύς,9.606,speak
occ309,τὸν,προσέφη,ὠκὺς,Ἀχιλλεύς,9.643,speak
occ310,τήν,πόρε,δῖος,Ἀχιλλεὺς,9.667,
occ311,τὸν,προσέειπε,πολύτλας,Ὀδυσσεύς,9.676,speak
occ312,τὸν,προσέειπε,ἀγαθὸς,Μενέλαος,10.36,speak
occ313,τὸν,προσέφη,κρείων,Ἀγαμέμνων,10.42,speak
occ314,τὸν,ἠμείβετ',ἀγαθὸς,Μενέλαος,10.60,reply
occ315,τὸν,προσέειπεν,ἄναξ,Ἀγαμέμνων,10.64,speak
occ316,τὸν,ἠμείβετ',ἄναξ,Ἀγαμέμνων,10.86,reply
occ317,τὸν,ἠμείβετ',ἱππότα,Νέστωρ,10.102,reply
occ318,τὸν,προσέειπεν,ἄναξ,Ἀγαμέμνων,10.119,speak
occ319,τὸν,ἠμείβετ',ἱππότα,Νέστωρ,10.128,reply
occ320,τὸν,ἠμείβετ',ἱππότα,Νέστωρ,10.143,reply
occ321,τὸν,ἀνέγειρε,ἱππότα,Νέστωρ,10.157,
occ322,τὸν,προσέειπε,ἱππότα,Νέστωρ,10.168,speak
occ323,τὸν,προσέειπε,πολύτλας,Ὀδυσσεύς,10.248,speak
occ324,τὸν,προσέφη,πολύμητις,Ὀδυσσεύς,10.382,speak
occ325,τὸν,προσέφη,πολύμητις,Ὀδυσσεύς,10.400,speak
occ326,τὸν,προσέφη,πολύμητις,Ὀδυσσεύς,10.423,speak
occ327,τὸν,προσέφη,κρατερὸς,Διομήδης,10.446,speak
occ328,ἄνδρας,ἐπῴχετο,Τυδέος,υἱὸς,10.487,
occ329,βασιλῆα,κιχήσατο,Τυδέος,υἱός,10.494,
occ330,ἀλαοσκοπιὴν,εἶχ',ἀργυρότοξος,Ἀπόλλων,10.515,
occ331,σφῶϊ,φιλεῖ,νεφεληγερέτα,Ζεὺς,10.552,
occ332,τὸν,προσέφη,πολύμητις,Ὀδυσσεύς,10.554,speak
occ333,τοὺς,λίπεν,ἄναξ,Ἀγαμέμνων,11.99,
occ334,παῖδε,λάβε,κρείων,Ἀγαμέμνων,11.126,
occ335,τὴν,ὦρσαν,ἐρίγδουποι,πόδες,11.152,
occ336,τοὺς,ἔφεπε,κρείων,Ἀγαμέμνων,11.177,
occ337,τό,προϊεῖσι,μογοστόκοι,Εἰλείθυιαι,11.270,
occ338,νῆας,ἕλῃ,κορυθαίολος,Ἕκτωρ,11.315,kill
occ339,τὸν,προσέφη,κρατερὸς,Διομήδης,11.316,speak
occ340,τήν,πόρε,Φοῖβος,Ἀπόλλων,11.353,
occ341,σ',ἐρύσατο,Φοῖβος,Ἀπόλλων,11.363,
occ342,τὸν,προσέφη,κρατερὸς,Διομήδης,11.384,speak
occ343,σε,κιχάνεται,αἰπὺς,ὄλεθρος,11.441,
occ344,ἔμ',κτεριοῦσί,δῖοι,Ἀχαιοί,11.455,
occ345,τόν,δαμάσσεται,ὠκὺς,ὀϊστός,11.478,kill
occ346,τὸν,ἐνόησ',Εὐαίμονος,υἱὸς,11.575,
occ347,Νέστορα,φέρον,Νηλήϊαι,ἵπποι,11.597,
occ348,τὸν,ἐνόησε,ποδάρκης,Ἀχιλλεύς,11.599,
occ349,τὸν,προσέειπε,Μενοιτίου,υἱός,11.605,speak
occ350,τὸν,προσέφη,ὠκὺς,Ἀχιλλεύς,11.607,speak
occ351,ὃ,ἦγ',ὁ,γεραιός,11.632,
occ352,τὸν,ἠμείβετ',ἱππότα,Νέστωρ,11.655,reply
occ353,ὅσα,τρέφει,εὐρεῖα,χθών,11.741,
occ354,τινά,ἐπέφραδε,πότνια,μήτηρ,11.795,
occ355,τὸν,ᾤκτειρε,Μενοιτίου,υἱός,11.814,
occ356,τὸν,προσέειπε,Μενοιτίου,υἱός,11.837,speak
occ357,στόματ',ἔτραπε,Φοῖβος,Ἀπόλλων,12.24,
occ358,τὸν,προσέφη,κορυθαίολος,Ἕκτωρ,12.230,speak
occ359,τόν,ἔθηκε,Κρόνου,πάϊς,12.450,
