id,subj,obj,verb,ref,lemma_verb,synset
occ220,τις,Ἀχιλῆα,ἴδηται,19.151,εἶδον,
occ221,Ζεὺς,κῦδος,ἔδωκεν,19.204,δίδωμι,
occ222,ὅτις,ἐπίορκον,ὀμόσσῃ,19.260,ὄμνυμι,
occ223,ἐγὼ,χεῖρ',ἐπένεικα,19.261,ἐπιφέρω,
occ224,θεοὶ,ἄλγεα,δοῖεν,19.264,δίδωμι,
occ225,οἳ,ἦμαρ,ἐπέσπον,19.294,ἐφέπω,
occ226,ὅς,δάκρυον,εἴβει,19.323,εἴβω,
occ227,λιμὸς,γούναθ',ἵκοιτο,19.354,ἱκνέομαι,
occ228,σέλας,αἰθέρ',ἵκανε,19.379,ἱκάνω,
occ229,Τρῶες,τεύχε',ἕλοντο,19.412,αἱρέω,kill
occ230,αἵ,ἄλσεα,νέμονται,20.8,νέμω,
occ231,ὃς,λοιγὸν,ἀμύνει,20.98,ἀμύνω,
occ232,ἣ,μῦθον,ἔειπε,20.114,εἶπον,speak
occ233,Πρίαμος,γέρας,θήσει,20.182,τίθημι,
occ234,ἕτεροί,παῖδα,κλαύσονται,20.210,κλαίω,
occ235,νηῦς,ἄχθος,ἄροιτο,20.247,αἴρω,
occ236,χόλος,τὰ,κελεύει,20.255,κελεύω,
occ237,Πηλεΐδης,θυμὸν,ἀπηύρα,20.290,ἀπαυράω,
occ238,οὗτος,ἄλγεα,πάσχει,20.297,πάσχω,
occ239,τοὶ,οὐρανὸν,ἔχουσιν,20.299,ἔχω,
occ240,ἡμεῖς,μιν,ἀγάγωμεν,20.300,ἄγω,
occ241,Ἀχιλεὺς,θάνατον,ἐπίσπῃ,20.337,ἐφέπω,
occ242,τίς,σ',ἐξεναρίξει,20.339,ἐξεναρίζω,kill
occ243,Ἀχιλεὺς,τέλος,ἐπιθήσει,20.369,ἐπιτίθημι,
occ244,σκότος,ὄσσε,κάλυψε,20.393,καλύπτω,
occ245,νεφέλη,μιν,ἀμφεκάλυψε,20.417,ἀμφικαλύπτω,
occ246,ὃ,τὸν,ἔασε,20.456,ἐάω,
occ247,σκότος,ὄσσε,κάλυψε,20.471,καλύπτω,
occ248,ἄνεμος,φλόγα,εἰλυφάζει,20.492,εἰλυφάζω,
occ249,υἱὸς,ὦνον,ἔδωκε,21.41,δίδωμι,
occ250,κάματος,γούνατ',ἐδάμνα,21.52,δαμνάω,
occ251,ὃ,πολέας,ἐρύκει,21.59,ἐρύκω,
occ252,ἥ,κρατερόν,ἐρύκει,21.63,ἐρύκω,
occ253,σὺ,ἄμφω,δειροτομήσεις,21.89,δειροτομέω,
occ254,τις,θυμὸν,ἕληται,21.112,αἱρέω,kill
occ255,Ἀχιλεὺς,θυμὸν,ἀπηύρα,21.179,ἀπαυράω,
occ256,σκότος,ὄσσε,κάλυψεν,21.181,καλύπτω,
occ257,τοὶ,οὐρανὸν,ἔχουσι,21.267,ἔχω,
occ258,ποταμὸς,γούνατ',ἐδάμνα,21.270,δάμνημι,
occ259,ἥ,με,ἔθελγεν,21.276,θέλγω,
occ260,ἥ,κεφαλὰς,κήαι,21.336,καίω,
occ261,ἐγὼ,τόδ',ὀμοῦμαι,21.373,ὄμνυμι,
occ262,ἣ,ἔπεα,ἀγόρευε,21.427,ἀγορεύω,speak
occ263,ἐγὼ,τεῖχος,ἔδειμα,21.446,δέμω,
occ264,σὺ,βοῦς,βουκολέεσκες,21.448,βουκολέω,
occ265,οἳ,τοιαῦτα,ἀγόρευον,21.514,ἀγορεύω,speak
occ266,Ἀχιλεὺς,πόνον,ἔθηκεν,21.525,τίθημι,
occ267,Ἀπόλλων,Ἀγήνορα,ἀνῆκε,21.545,ἀνίημι,
occ268,Ζεὺς,κῦδος,ὀπάζει,21.570,ὀπάζω,
occ269,σὺ,πότμον,ἐφέψεις,21.588,ἐφέπω,
occ270,Ἀχιλεὺς,πόδας,ἐνώμα,22.24,νωμάω,
occ271,ὅς,μ',ἔθηκε,22.44,τίθημι,
occ272,δράκων,ἄνδρα,μένῃσι,22.93,μένω,
occ273,Πουλυδάμας,ἐλεγχείην,ἀναθήσει,22.100,ἀνατίθημι,
occ274,ὃ,μ',ἐλεήσει,22.123,ἐλεέω,
occ275,Ὀλύμπιος,εὖχος,ὀρέξῃ,22.130,ὀρέγω,
occ276,ὅς,μηρί',ἔκηεν,22.170,καίω,
